original_title,genre,duration,country,language,director,production_company,description,avg_vote,votes,reviews_from_users,reviews_from_critics
3 from Hell,Horror,115,USA,"English, Spanish",Rob Zombie,Capital Arts Entertainment,"After barely surviving prison, the demented Firefly clan go on the run, unleashing a whole new wave of murder, madness and mayhem.",5.5,10404,311,111
Battlefield 2025,Sci-Fi,84,USA,English,Joseph Mbah,FunHouse Features,"Weekend campers, an escaped convict, young lovers and a police officer experience a night of terror when a hostile visitor from another world descends on a small Arizona town.",2.1,132,10,6
Passed by Censor,Drama,96,"Turkey, Germany, France",Turkish,Serhat Karaaslan,90 Film Production,"In the heart of Istanbul's prison, Zakir controls the letters prisoners receive. His average day is spent between the censorship office, his colleagues and his evening writing class. For a ...",7,326,2,48
Kajillionaire,"Crime, Drama",106,USA,English,Miranda July,Annapurna Pictures,A woman's life is turned upside down when her criminal parents invite an outsider to join them on a major heist they're planning.,5.6,175,4,14
Section 375,"Drama, Mystery",124,India,Hindi,Ajay Bahl,Panorama Studios,"A celebrated Bollywood director Rohan Khurana stands accused by a female member of his crew, Anjali Dangle of having raped her at his residence.",8.1,10409,186,25
The F**k-It List,Comedy,103,USA,English,Michael Duggan,Awesomeness Films,"After a prank blows up on a high school senior's life, he shares a list of certain things he wishes he'd done differently.",5.1,3515,67,4
Made in Bangladesh,Drama,95,"France, Bangladesh, Denmark, Portugal",Bengali,Rubaiyat Hossain,Les Films de l'Après-Midi,"Shimu fled her village as a child when her stepmother threatened to marry her off to a middle-aged man. Now 23 and living in the capital, she works grueling hours for paltry sums at a textile factory while her husband searches for work.",7.1,135,2,89
Dead by Dawn,Horror,85,USA,English,Sean Cain,Silver Spider Investments,A suicidal man in a remote cabin is suddenly faced with protecting a kidnapped woman from three sexual deviants and their sadistic games.,3.2,161,9,17
Honey Boy,Drama,94,USA,"English, Spanish",Alma Har'el,Amazon Studios,A young actor's stormy childhood and early adult years as he struggles to reconcile with his father and deal with his mental health.,7.3,23102,167,136
Wolf,Drama,85,UK,English,Stuart Brennan,Stronghold,"When four messengers sent by Rome to a plague go missing, Rome has no choice but to send ten of their finest across Hadrian's Wall to find and bring them back.",5,1570,63,10
Happy Death Day 2U,"Comedy, Horror, Mystery",100,"USA, Japan","English, French",Christopher Landon,Blumhouse Productions,Tree Gelbman discovers that dying over and over was surprisingly easier than the dangers that lie ahead.,6.2,52547,426,232
Traumfabrik,"Comedy, Drama, Romance",125,Germany,"German, French, Russian, English",Martin Schreier,Traumfabrik Babelsberg,A romantic drama set in 1961 that follows a young studio extra's ambitious efforts to reunite with the French girl he loves after being separated by the construction of the Berlin Wall.,6.5,506,4,39
Minha Fama de Mau,"Biography, Drama",116,Brazil,Portuguese,Lui Farias,Indiana Produções Cinematográficas,"In Tijuca, during the seventies the young Erasmo Carlos is feeding a passion: Rock and Roll. As a fan of Elvis, Bill Haley and Chuck Berry, he learns how to play the guitar while he lives ...",6.4,291,,1
Kronoloji,Thriller,117,Turkey,Turkish,Ali Aydin,Yeni Sinemacilar,"Hakan and Nihal seems to have a perfect marriage. The problems of the young architect couple are started to emerge when Nihal suddenly disappears. While looking for his wife with the police, Hakan faces the facts of their relationship.",6.1,144,,1
El Hijo,Thriller,92,Argentina,"Spanish, Norwegian",Sebastián Schindel,Buffalo Films,"Lorenzo, a 50 y.o. painter, is having a child with his new wife, Ingrid. She gets stranger and stranger - or he does. He claims, the baby's been switched.",5.4,2802,81,20
Follow Me,"Horror, Thriller",88,USA,English,Will Wernick,Escape Productions,"A social media personality travels with his friends to Moscow to capture new content for his successful VLOG. Always pushing the limits and catering to a growing audience, they enter a cold world of mystery, excess, and danger.",5.3,736,24,17
Chase,Thriller,84,USA,English,Michael Matteo Rossi,,"A hitman must prove his loyalty to his mentor and best friend, while his girlfriend wants to leave the business behind them.",6,4311,125,16
City Hunter: Shinjuku Private Eyes,"Animation, Action, Comedy",95,Japan,Japanese,Kenji Kodama,Sunrise,Private detective Ryo Saeba is hired to protect the daughter of a scientist that recently died in a suspicious traffic accident.,6.5,375,1,7
Just a Gigolo,Comedy,94,France,French,Olivier Baroux,Eskwad,"Dumped for a younger man by his 80- year old lady friend, an aging gigolo enlists his preteen nephew to help find his next millionaire.",5.4,593,2,5
Trauma Therapy,Thriller,79,USA,English,Tyler Graham Pavey,Glass House Distribution,"A group of broken souls attend a self-help seminar at a remote wooded retreat with a famous guru. In search of better lives, they must confront their deepest demons in the midst of their ...",3.7,242,96,2
Wine Country,Comedy,103,USA,English,Amy Poehler,Dunshire Productions,"During a vacation to Napa Valley, a group of long time friends reunite and revisit past choices in this hilarious and heartfelt comedy from director Amy Poehler.",5.4,17806,350,56
Turma da Mônica: Laços,"Adventure, Comedy, Family",97,Brazil,Portuguese,Daniel Rezende,Bionica Filmes,"Based in the graphic novel written by Lu Cafaggi and Vitor Cafaggi, spin off from the comics written by Mauricio de Sousa. The boy Jimmy Five gathers his friends to find his dog Fluffy that has been kidnapped.",7.3,1435,4,4
Where We Go from Here,Drama,90,USA,"English, French",Anthony Meindl,Meta Films / Intrepid Entertainment,"Three acts of terror disrupt the lives of ordinary people. In Binghamton, an ESL teacher dealing with domestic abuse finds even greater violence at her school. In Orlando, two lovers ...",4.7,124,4,
John Henry,"Drama, Thriller",91,USA,English,Will Forbes,Defiant Studios,"When two immigrant kids on the run from his former South Los Angeles gang leader stumble into his life, John is forced to reconcile with his past in order to try and give them a future.",3.5,1510,136,14
Green Rush,Thriller,87,USA,English,Gerard Roxburgh,Datura Studios,A cannabis farmer and his pregnant lover fight for their lives when ruthless criminals invade their property.,3.8,143,7,2
Equal Standard,"Action, Crime, Drama",101,USA,English,Brendan Kyle Cochrane,Digital Seven,"New York City police officers lives collide in interweaving stories of race, rank, loss, and betrayal.",5.6,104,12,
La lutte des classes,"Comedy, Drama, Family",103,France,French,Michel Leclerc,Karé Productions,"As everyone knows, children make no difference between social classes, skin colors or religions. But then why does Corentin, Paul and Sofia's nine-year-old son, only have friends like him ...",5.9,789,2,4
The Other Side of Heaven 2: Fire of Faith,"Adventure, Biography, Drama",117,USA,English,Mitch Davis,Kolipoki Pictures,"Missionary John H. Groberg returns to Tonga in the 1960s with his wife and their five young daughters. When their sixth child is born with a serious illness, the Grobergs face their ...",5.4,299,9,5
Panipat,"Action, Drama, History",165,India,Hindi,Ashutosh Gowariker,Ashutosh Gowariker Productions,"The film is based on the third battle of Panipat which took place on the 14 of January in 1761 between the Marathas and the King of Afghanistan, Ahmad Shah Abdali.",5.4,3935,206,17
Earthquake Bird,"Crime, Drama, Mystery",107,"UK, Japan, USA","English, Japanese",Wash Westmoreland,Scott Free Productions,"An enigmatic translator with a dark past is brought in for questioning after an ex-pat friend, who came between her and her photographer boyfriend, ends up missing and presumed dead.",5.9,11728,161,39
Body Cam,"Horror, Mystery, Thriller",96,USA,English,Malik Vitthal,BET Films,"When a routine traffic stop results in the unexplained, grisly death of her colleague, a cop (Mary J. Blige) realizes footage of the incident will play for her eyes only. As the attacks mount, she races to understand the supernatural force behind them.",5.2,1773,48,45
Rim of the World,"Action, Adventure, Comedy",98,USA,"English, Chinese",McG,Netflix,Four misfit campers must band together and conquer their fears in order to save the world during an alien invasion.,5.2,17598,651,37
Looks That Kill,"Comedy, Drama, Romance",92,USA,English,Kellen Moore,American High,The story of a teenage boy who deals with the ups and downs of being lethally attractive.,6.4,1205,46,4
This Is Our Home,"Horror, Romance",73,USA,English,Omri Dorani,Arminius Films,A struggling couple's weekend getaway goes awry when a child arrives in the middle of the night claiming to be their son.,3.4,280,31,12
9: Nine,"Fantasy, Horror, Sci-Fi",149,India,Malayalam,Jenuse Mohammed,Prithviraj Productions,"When forces within and beyond this world conspire to snatch his son away, a father resolves to do whatever it takes to protect him.",7,1681,75,8
The Last Heroes,"Comedy, Fantasy, Horror",131,Italy,,Roberto D'Antona,L/D Production,"A group of friends - a tomb raider, a chatty salesman, a naughty journalist, a lazy nerd and the shy assistant of a mysterious blind and silent shopkeeper - meet again in the quiet small ...",6.2,316,5,2
The Short History of the Long Road,Drama,90,USA,English,Ani Simon-Kennedy,Bicephaly Pictures,A teenager has to confront the reality of life on the road after tragedy strikes.,6.4,564,18,61
Staff Only,Drama,82,"Spain, France","Catalan, French, Wolof",Neus Ballús,El Kinògraf,"A 17-year-old girl spends the Christmas holidays in Senegal with her brother and father. Tired of planned trips and the ceremonious actions of the hotel employees, as well as her father's ...",6.2,153,1,3
Overcomer,"Drama, Family, Sport",119,USA,English,Alex Kendrick,Affirm Films,A high-school basketball coach volunteers to coach a troubled teen in long-distance running.,6.6,3413,169,22
M.O.M.: Mothers of Monsters,Thriller,98,USA,English,Tucia Lyman,Aha Productions,"A distraught mother suspects her teenage son is plotting a school shooting, but when he slips through the cracks of the system, she is forced to take matters into her own hands. After ...",5.5,642,77,33
Wie gut ist deine Beziehung?,"Comedy, Drama, Romance",111,Germany,German,Ralf Westhoff,Ralf Westhoff Filmproduktion,,5.7,121,,15
F2: Fun and Frustration,Comedy,148,India,Telugu,Anil Ravipudi,Sri Venkateswara Creations,"After Venky, Varun also gets married thinking he can keep the wife in control but both of them get frustrated with the marital life which generates fun.",6.2,1919,40,3
Swing Low,Thriller,77,USA,English,Teddy Grennan,Cold Beer Friday,"When a nature photographer explains to the Police how she fought her way out of the Watchatoomy Valley, they dismiss her crazed and violent story as a meth-induced nightmare. But when they ...",4.8,269,11,13
Le daim,"Comedy, Horror",77,France,French,Quentin Dupieux,Atelier de Production,A man's obsession with his designer deerskin jacket causes him to blow his life savings and turn to crime.,6.8,4666,18,116
Cuck,"Crime, Drama, Thriller",115,USA,English,Rob Lambert,Rimrock Pictures,"When a frustrated loner gains popularity as an Alt-Right vlogger, the online echo chamber turns his fears into a deadly rage.",3.9,2150,56,25
"522. Un gato, un chino y mi padre",Drama,94,"Spain, Portugal","Spanish, Portuguese",Paco R. Baños,Tarkemoto,"George is agoraphobic and can't go beyond 522 steps from home. One day, her cat forces her to embark on a trip from Spain to native Portugal. Along the way, George's whole world starts to widen.",6.2,233,,2
Soul Hunters,"Action, Thriller",101,USA,English,"Adrian Acevedo-Smith, Arturo Acevedo-Smith",Acevedo Smith Productions,A disgraced ex special forces agent turns to a demon that offers him a job as a soul hunter. Chaos ensues when a former associate goes on a killing spree with the soul hunter as his main target.,6.7,1280,44,1
Psychosia,Drama,87,"Denmark, Finland",Danish,Marie Grahtø Sørensen,Beo Starling,Viktoria is an odd and extremely self-disciplined researcher in the field of suicide. She is invited to a psych ward to treat the suicidal patient Jenny. Through intimate nocturnal ...,6.2,152,,5
